Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
J. Champness,21,Australia,Newcastle Jets,Left,55,64,35,64
E. Jonassen Sætervik,25,Norway,FK Bodø/Glimt,Left,61,58,57,67
C. Kane,23,Scotland,St. Johnstone FC,Right,44,67,53,69
M. Brouwer,25,Netherlands,Heracles Almelo,Right,13,18,21,22
P. Maronilli,20,Italy,Cittadella,Left,32,41,42,60
M. Frankoch,22,Denmark,Vendsyssel FF,Right,44,53,59,52
L. Bender,30,Germany,FC Energie Cottbus,Right,67,49,59,58
A. Ildız,21,Turkey,Yeni Malatyaspor,Right,49,62,60,61
A. Dabo,17,France,FC Nantes,Left,61,63,67,54
S. Odey,20,Nigeria,FC Zürich,Right,31,58,29,58
M. Zemzemi,18,Tunisia,RC Strasbourg Alsace,Left,54,73,51,58
T. Takagi,25,Japan,Kashiwa Reysol,Left,63,63,49,59
I. Cissé,22,France,Angers SCO,Right,64,62,61,45
R. Kaib,21,Sweden,IF Elfsborg,Left,64,61,65,46
S. Adekoya,22,United States,Vendsyssel FF,Right,45,61,45,58
F. Motori,22,Sweden,Trelleborgs FF,Right,60,68,58,52
I. Diarra,20,France,FC Girondins de Bordeaux,Left,58,71,49,66
L. Price,33,Wales,Rotherham United,Right,13,12,13,34
T. Socha,30,Poland,Arka Gdynia,Right,52,56,55,46
V. Tankovskyi,22,Ukraine,Shakhtar Donetsk,Right,46,60,64,49
A. Adouyev,19,France,Montpellier HSC,Right,55,72,64,61
I. Dresevic,21,Sweden,IF Elfsborg,Right,38,56,62,35
J. Devitt,27,Republic of Ireland,Carlisle United,Right,65,67,55,64
P. Maiorino,29,Italy,Livorno,Right,51,61,50,62
Kim Ji Min,25,Korea Republic,Pohang Steelers,Right,45,64,36,55
S. Dooley,26,Northern Ireland,Rochdale,Right,64,63,56,55
B. White,20,England,Brighton & Hove Albion,Right,36,40,64,35
A. Sevinç,19,Turkey,Trabzonspor,Right,54,62,52,64
P. Struijk,18,Netherlands,Leeds United,Left,30,42,58,60
J. Estrada,20,Mexico,Club Atlas,Right,14,9,25,21
M. Reuvers,19,Netherlands,NAC Breda,Right,46,60,60,58
F. Pereyra,29,Argentina,CD Huachipato,Right,24,37,29,38
S. Poulsen,33,Denmark,SønderjyskE,Left,68,67,58,58
A. Cervantes,20,Mexico,Guadalajara,Right,51,56,65,57
I. Marega,20,France,Stade Malherbe Caen,Right,28,32,29,39
S. Czajkowski,21,Denmark,Vendsyssel FF,Right,31,60,29,57
M. Insaurralde,19,Argentina,San Lorenzo de Almagro,Right,49,64,62,56
P. Heigre,23,Norway,Strømsgodset IF,Right,20,12,27,18
K. Garcia,27,United States,Houston Dynamo,Left,24,23,52,32
A. Edun,20,England,Ipswich Town,Left,54,65,59,49
S. Cordero,22,Chile,CD Antofagasta,Right,47,49,57,48
J. Ramírez,21,Colombia,Atlético Nacional,Right,10,6,15,24
C. Jones,17,England,Liverpool,Right,54,65,61,60
A. Nabi,24,England,Dundee FC,Right,50,65,45,60
D. Al Saeed,27,Saudi Arabia,Al Hazem,Right,20,19,21,22
B. Meredith,28,United States,Seattle Sounders FC,Right,18,15,36,24
L. Cole,25,England,Tranmere Rovers,Right,52,67,49,60
F. Medina,19,Argentina,Club Atlético Talleres,Left,54,58,35,27
D. Anyembe,19,Denmark,Esbjerg fB,Right,58,56,50,50
Meseguer,18,Spain,Rayo Vallecano,Left,53,45,40,42
C. Roberts,21,England,Newcastle United,Left,57,66,48,61
O. Rommens,23,Belgium,NAC Breda,Right,45,58,63,47
J. Robinson,24,United States,DC United,Right,30,36,44,42
B. Collins,21,England,Burton Albion,Right,20,20,26,26
R. Torres,21,Mexico,Tigres U.A.N.L.,Right,40,61,62,51
J. Méndez,20,Argentina,Argentinos Juniors,Right,58,66,54,64
W. Bracamonte,20,Argentina,Unión de Santa Fe,Right,53,64,54,61
I. Pedrelli,32,Italy,Livorno,Right,64,66,39,62
Kim Jong Min,25,Korea Republic,Suwon Samsung Bluewings,Right,33,55,25,59
E. Nolan,29,Republic of Ireland,Crewe Alexandra,Right,58,51,50,43
M. Cortés,21,Colombia,Jaguares de Córdoba,Right,45,63,56,61
R. Hunt,22,England,Oldham Athletic,Right,64,61,42,45
C. Dyson,21,England,Plymouth Argyle,Right,40,55,47,68
P. O'Connor,20,Republic of Ireland,Blackpool,Right,22,26,47,34
N. Beyer,21,Germany,FSV Zwickau,Right,26,31,46,42
F. Gattoni,19,Argentina,San Lorenzo de Almagro,Right,28,33,26,47
J. Ayala,27,Mexico,Boyacá Chicó FC,Right,47,49,49,51
Oh Se Hun,19,Korea Republic,Ulsan Hyundai FC,Right,28,57,24,62
A. Donkor,20,Germany,FC Hansa Rostock,Right,58,63,44,70
S. Condé,25,Guinea,La Berrichonne de Châteauroux,Right,31,26,47,44
A. Nicholls,30,England,Crewe Alexandra,Right,42,55,41,47
H. Souttar,19,Scotland,Stoke City,Right,24,50,53,33
Kim Min Tae,24,Korea Republic,Hokkaido Consadole Sapporo,Right,40,45,61,43
E. Cicerelli,23,Italy,Foggia,Right,56,68,42,66
T. Miller,28,England,Bury,Right,57,49,58,57
J. Trtovac,31,Serbia,BB Erzurumspor,Right,27,26,28,48
J. Sterry,22,England,Newcastle United,Right,60,60,46,37
H. Al Shuwaysh,29,Saudi Arabia,Al Raed,Left,48,47,38,34
A. Andersson,21,Sweden,BK Häcken,Right,47,60,62,53
E. Sánchez,18,Mexico,Pachuca,Right,38,53,59,60
J. Willock,18,England,Arsenal,Right,44,62,62,58
C. Wehan,24,United States,San Jose Earthquakes,Right,58,60,60,68
S. Kchouk,24,Tunisia,FC St. Gallen,Left,54,60,50,23
M. Bridge,32,Australia,Western Sydney Wanderers,Right,64,62,35,62
Xu Xin,24,China PR,Guangzhou Evergrande Taobao FC,Right,44,53,55,56
M. Gallegos,21,Argentina,Unión de Santa Fe,Right,33,63,32,56
P. Kpozo,20,Ghana,Östersunds FK,Left,63,63,59,41
K. Fila,20,Poland,Lechia Gdańsk,Right,52,55,55,49
A. May,24,England,Doncaster Rovers,Right,32,64,30,61
Y. Akgün,17,Turkey,Galatasaray SK,Left,40,67,40,61
F. Buchacher,30,Austria,FC Wacker Innsbruck,Left,60,55,54,67
C. Thompson,24,England,Wycombe Wanderers,Right,54,60,59,57
E. Vignato,17,Italy,Chievo Verona,Right,60,69,62,52
F. Otárola,32,Argentina,Club Deportes Temuco,Right,7,30,20,23
N. Kikuchi,33,Japan,Hokkaido Consadole Sapporo,Right,46,47,55,32
B. Bingham,27,England,Gillingham,Left,44,58,63,55
N. Lemus,29,Colombia,Envigado FC,Right,63,54,59,44
J. Aros,22,Chile,Club Deportes Temuco,Right,47,37,42,47
A. Sissako,20,France,La Berrichonne de Châteauroux,Right,42,59,60,56
F. Sivetti,20,Argentina,Estudiantes de La Plata,Right,55,62,66,58
Jorge Mier,19,Spain,Real Oviedo,Right,57,56,42,37
S. Schreck,19,Germany,Bayer 04 Leverkusen,Right,50,68,59,44
A. Dursun,19,Turkey,Trabzonspor,Left,52,58,42,54
A. Ciss,18,Senegal,Fortuna Sittard,Right,51,59,64,66
F. Al Shammari,37,Saudi Arabia,Al Fayha,Right,17,16,18,22
Raúl Vallejo,22,Spain,CD Numancia,Right,54,57,60,63
J. Ščuk,27,Bosnia Herzegovina,BB Erzurumspor,Right,62,67,62,65
G. Postma,20,Netherlands,FC Groningen,Left,48,60,59,67
M. Sejmenovic,32,Bosnia Herzegovina,Neuchâtel Xamax,Right,42,38,44,38
Jiang Jihong,28,China PR,Guangzhou R&F; FC,Right,23,30,46,39
Y. Valery,19,France,Southampton,Right,54,65,30,30
L. Marseiler,21,Germany,SpVgg Unterhaching,Right,49,64,45,48
C. Kouan,18,Ivory Coast,Perugia,Right,52,67,62,58
J. Łukowski,22,Poland,Wisła Płock,Right,59,57,55,63
C. Harries,21,Wales,Swansea City,Left,52,53,58,38
P. Knechtel,22,Germany,FC Energie Cottbus,Right,35,48,40,35
R. Lopes,26,Republic of Ireland,Shamrock Rovers,Right,43,48,50,43
N. Phillips,21,England,Liverpool,Right,30,33,45,45
W. Hesl,32,Germany,1. FC Kaiserslautern,Left,9,7,22,19
S. Mohlin,22,Sweden,Malmö FF,Right,14,12,32,21
M. Ošs,26,Latvia,Neuchâtel Xamax,Right,25,26,29,43
N. Mohammad,26,Germany,KFC Uerdingen 05,Right,38,50,52,40
J. Ruffels,24,England,Oxford United,Left,57,57,63,60
G. Smith,22,United States,Sporting Kansas City,Right,23,55,55,45
S. Bennett,27,England,Newport County,Right,36,39,42,48
D. Frieser,24,Austria,LASK Linz,Right,63,54,55,60
J. Burkardt,17,Germany,1. FSV Mainz 05,Right,48,75,46,53
A. Lupu,20,Romania,Deportivo Alavés,Right,30,55,45,60
Wang Jinxian,22,China PR,Dalian YiFang FC,Right,40,68,56,52
A. Maziero,20,Argentina,Rosario Central,Right,46,55,36,64
K. Moreno,17,Colombia,Deportivo Cali,Right,25,29,33,45
Jose,24,Brazil,Daegu FC,Right,34,53,34,59
Eliseo Falcón,21,Spain,Granada CF,Right,33,44,38,41
S. Ramizi,26,Kosovo,Neuchâtel Xamax,Right,53,62,55,58
J. Flannigan,22,England,Burton Albion,Right,50,66,66,65
P. Halder,25,India,,Right,48,53,62,46
H. Adıgüzel,18,Turkey,Akhisar Belediyespor,Right,42,60,63,68
S. Strømnes,31,Norway,Stabæk Fotball,Right,44,41,52,64
K. Pestka,19,Poland,Cracovia,Left,59,56,52,32
M. Kolar,23,Croatia,Wisła Kraków,Right,35,59,38,62
F. Brügmann,25,Germany,FC Carl Zeiss Jena,Right,47,61,38,63
B. Urbański,20,Poland,Willem II,Left,56,58,65,59
M. Schüler,20,Germany,FC Carl Zeiss Jena,Left,28,30,31,33
P. Erhardt,24,Austria,SV Mattersburg,Right,48,58,59,55
V. Sköld,28,Sweden,Örebro SK,Right,40,55,43,59
K. Knoyle,21,England,Swindon Town,Right,56,57,44,34
J. Torres,18,Mexico,Club Atlas,Right,52,65,51,59
J. Coustrain,22,Republic of Ireland,Shamrock Rovers,Left,55,64,51,58
W. Mosquera,33,Colombia,Jaguares de Córdoba,Right,18,19,22,24
M. Chouiar,19,France,Racing Club de Lens,Right,55,65,58,55
B. Héry,26,France,Waterford FC,Right,43,60,61,49
A. Nilsson,27,Sweden,IF Brommapojkarna,Right,59,62,55,60
B. Figueroa,19,Chile,Audax Italiano,Right,55,62,54,52
R. de la Rosa,18,Mexico,Pachuca,Right,40,57,35,52
M. Sagnan,19,France,Racing Club de Lens,Left,48,38,50,40
Z. Bakayogo,31,Ivory Coast,Tranmere Rovers,Left,65,62,56,42
N. Barona,20,Colombia,La Equidad,Right,47,64,48,55
J. Sierra,21,Chile,Unión Española,Right,31,58,40,62
A. Ryczkowski,21,Poland,Górnik Zabrze,Right,59,63,47,57
L. Jonsson,25,Sweden,IK Sirius,Right,13,11,23,16
C. Reppesgård,25,Norway,Sandefjord Fotball,Right,30,53,46,62
B. Allain,26,France,Dijon FCO,Right,16,21,24,18
M. Uusitalo,21,Finland,HJK Helsinki,Right,13,8,18,17
T. Alarcón,18,Chile,CD O'Higgins,Right,40,41,56,49
J. Chianese,28,Australia,Perth Glory,Right,51,58,50,60
K. Howkins,22,England,West Bromwich Albion,Right,27,44,47,33
B. Galindo,19,Mexico,Guadalajara,Right,26,35,45,43
I. Minchev,27,Bulgaria,,Right,46,67,66,54
A. Zekaj,18,Serbia,LOSC Lille,Right,50,55,60,58
T. Vaiho,29,Sweden,Djurgårdens IF,Right,16,16,21,49
L. Sotomayor,21,Chile,Deportes Iquique,Right,18,14,17,20
B. Kennedy,21,Northern Ireland,Stevenage,Left,48,59,40,51
N. Baxter,19,England,Yeovil Town,Right,14,14,31,21
E. Rueda,22,Argentina,Argentinos Juniors,Right,61,64,48,62
R. Hepburn-Murphy,19,England,Aston Villa,Right,39,67,40,62
K. Gipson,22,Germany,SV Sandhausen,Right,46,57,40,44
I. Hajtić,20,Bosnia Herzegovina,FC Würzburger Kickers,Right,21,33,40,42
J. Vollert,20,Germany,SV Werder Bremen,Right,50,55,53,52
K. Zapolnik,25,Poland,Górnik Zabrze,Right,36,58,42,59
G. Gül,19,Germany,Fortuna Düsseldorf,Right,28,45,49,39
S. Klaas,20,Germany,VfL Osnabrück,Right,59,64,56,40
C. O'Malley,23,Republic of Ireland,Peterborough United,Right,21,13,24,19
F. Al Aiyaf,26,Saudi Arabia,Al Hazem,Left,58,65,60,56
L. Mosevich,21,Argentina,FC St. Gallen,Right,26,31,30,48
R. Porteous,19,Scotland,Hibernian,Right,23,40,38,33
H. Mörschel,20,Germany,Holstein Kiel,Right,39,65,35,67
G. Sağlam,20,Germany,VfL Bochum 1848,Right,60,63,56,53
B. Bödvarsson,23,Iceland,Jagiellonia Białystok,Left,62,51,49,28
F. Geisler,21,Germany,FC Energie Cottbus,Right,63,64,56,63
G. Omotayo,24,Switzerland,Bury,Right,33,44,35,66
D. Rogers,24,Republic of Ireland,St. Mirren,Right,14,14,24,25
A. Zendejas,22,United States,Sporting Kansas City,Right,11,14,22,20
T. Chorý,23,Czech Republic,Viktoria Plzeň,Right,23,48,21,61
J. Vázquez,23,Argentina,Deportivo Pasto,Right,33,63,37,64
Yun Ju Tae,28,Korea Republic,FC Seoul,Right,59,58,56,61
T. Masuda,29,Japan,V-Varen Nagasaki,Right,14,10,29,18
L. Lauberbach,20,Germany,FSV Zwickau,Right,58,63,54,63
Y. Clementia,20,France,OGC Nice,Right,14,11,31,15
D. Orlishausen,35,Germany,FC Hansa Rostock,Right,11,11,23,18
D. Whitaker,37,England,Macclesfield Town,Right,52,56,57,64
A. Khormi,27,Saudi Arabia,Al Hazem,Right,30,62,38,59
L. Marić,31,Croatia,Arka Gdynia,Right,35,56,58,42
F. Benko,20,Germany,LASK Linz,Left,47,65,63,63
Liu Zhenli,33,China PR,Shandong Luneng TaiShan FC,Right,13,12,19,18
M. Piccinocchi,23,Italy,FC Lugano,Right,51,57,65,63
A. Paşcanu,19,Romania,,Right,59,58,35,35
A. Al Harbi,29,Saudi Arabia,Al Hazem,Left,52,49,46,41
Kim Gyeong Min,26,Korea Republic,Jeju United FC,Right,16,16,21,17
R. González,22,Chile,San Luis de Quillota,Right,54,61,56,47
Song Soo Yeong,26,Korea Republic,Sangju Sangmu FC,Right,60,62,50,63
Y. Nakazawa,40,Japan,Yokohama F. Marinos,Right,44,40,59,59
A. Al Ammar,24,Saudi Arabia,Al Fateh,Left,63,61,62,59
J. Ibehre,35,England,Cambridge United,Right,48,59,47,60
Jeong Dong Yun,24,Korea Republic,Incheon United FC,Left,63,52,57,35
M. Harzan,29,Saudi Arabia,Al Taawoun,Right,51,66,57,49
G. Hatano,20,Japan,FC Tokyo,Right,14,14,28,17
Li Yuanyi,24,China PR,Tianjin TEDA FC,Right,55,60,57,64
M. Dobre,19,Romania,Bournemouth,Right,55,67,45,54
N. Fernández,18,Chile,Audax Italiano,Right,61,38,49,48
M. López,20,Argentina,Club Atlético Banfield,Right,44,60,38,66
C. Dilo,24,France,Paris FC,Right,18,23,28,20
J. Beste,19,Germany,SV Werder Bremen,Left,67,62,52,52
D. Thomas,22,Scotland,Kilmarnock,Left,62,59,54,59
E. Edwards Jr.,26,United States,Orlando City SC,Right,16,16,23,20
A. Al Jadani,27,Saudi Arabia,Al Wehda,Right,14,15,28,16
M. Engelhardt,25,Germany,Eintracht Braunschweig,Right,18,18,23,24
C. Yüksel,20,Turkey,Galatasaray SK,Left,42,63,64,63
T. Casali,22,Austria,SV Mattersburg,Right,11,10,13,27
D. Jaiyesimi,20,England,Yeovil Town,Right,52,62,50,59
Y. Bisseck,17,Germany,1. FC Köln,Right,32,39,39,42
A. Sarr,27,Senegal,Paris FC,Right,46,66,35,62
T. Svendsen,18,Norway,FK Haugesund,Right,55,68,58,52
J. Williams,25,England,Rochdale,Left,61,63,49,61
B. Risa,20,Norway,Odds BK,Left,58,64,54,58
D. Contreras,24,Colombia,Jaguares de Córdoba,Right,41,52,57,50
B. Halliday,22,England,Cambridge United,Right,59,61,54,52
L. Dietz,21,Germany,VfL Sportfreunde Lotte,Right,43,52,57,56
N. Al Omran,20,Saudi Arabia,Al Shabab,Right,46,54,62,54
Parra,22,Spain,AD Alcorcón,Right,54,70,35,34
R. Taylor,28,Wales,Macclesfield Town,Right,17,12,33,21
C. Thomas,24,England,Cheltenham Town,Right,56,52,63,56
O. Ómarsson,23,Iceland,Sarpsborg 08 FF,Right,35,49,56,52
S. Kopp,23,Germany, SSV Jahn Regensburg,Right,40,32,35,34
Chen Binbin,20,China PR,Shanghai SIPG FC,Right,60,63,46,51
M. Toye,19,United States,Minnesota United FC,Right,31,63,25,66
Cordero,23,Spain,Gimnàstic de Tarragona,Right,10,6,28,17
N. Jackson,22,United States,Colorado Rapids,Right,30,56,25,62
B. Källman,19,Finland,Dundee FC,Right,36,59,40,51
L. Cueto,22,Germany,SC Preußen Münster,Left,53,66,40,63
Guillamón,18,Spain,Valencia CF,Right,42,45,47,41
P. Camara,25,Senegal,Grenoble Foot 38,Right,17,15,20,14
W. Cuesta,25,Colombia,Deportes Tolima,Right,15,17,25,20
Campos,23,Spain,CD Numancia,Right,12,5,16,22
F. Plach,26,Slovakia,Piast Gliwice,Right,15,10,23,29
H. Belal,24,Saudi Arabia,Al Qadisiyah,Right,44,50,54,51
D. Foulon,19,Belgium,Waasland-Beveren,Left,65,61,57,42
L. Fritzson,22,Sweden,Östersunds FK,Right,48,65,61,60
P. Da Silva,19,United States,Orlando City SC,Left,55,64,57,53
K. Skaanes,23,Norway,IK Start,Right,58,66,61,55
I. Ugbo,19,England,Scunthorpe United,Right,37,55,28,58
C. Operi,21,France,La Berrichonne de Châteauroux,Left,63,67,58,64
C. Köppel,23,Germany,TSV 1860 München,Left,61,55,51,61
C. Dickinson,31,England,Yeovil Town,Left,62,54,56,55
T. Robinet,21,France,FC Sochaux-Montbéliard,Right,62,58,52,63
Yeremi Valerón,21,Spain,UD Las Palmas,Left,54,62,27,20
S. Finley,25,England,Accrington Stanley,Left,50,60,60,57
A. Bruhn,24,Denmark,Randers FC,Right,51,64,53,58
M. Amundsen,20,Denmark,Eintracht Braunschweig,Left,57,62,50,64
T. Vollnhofer,33,Austria,SKN St. Pölten,Right,18,10,27,19
N. Atangana,28,France,Cheltenham Town,Right,49,54,59,63
D. Tchamba,19,Cameroon,RC Strasbourg Alsace,Left,32,35,26,40
A. Kartalis,23,Greece,FSV Zwickau,Left,63,64,60,59
J. Victoria,22,Colombia,Granada CF,Right,55,59,33,69
E. Orona,19,Mexico,Pachuca,Right,42,53,62,53
K. Yamaguchi,22,Japan,Kashima Antlers,Right,46,54,53,59
Angel Sánchez,20,Spain,RCD Espanyol,Right,58,57,59,59
B. Kindsvater,25,Germany,TSV 1860 München,Left,59,60,54,56
N. Laursen,20,Denmark,Brøndby IF,Left,56,69,54,64
L. Bolton,18,England,Manchester City,Right,62,57,51,56
R. Miller,29,England,Port Vale,Left,38,54,43,63
P. Kotal,24,India,,Right,56,53,47,45
F. Saavedra,21,Chile,Universidad de Chile,Left,60,63,59,51
J. Lorch,22,Germany,SV Wehen Wiesbaden,Right,58,57,50,51
M. Hosseini,22,Iran,Trabzonspor,Right,28,30,44,45
I. Aguilar,20,Mexico,Club América,Right,50,53,61,64
Gorka Giralt,22,Spain,Real Oviedo,Left,11,9,22,24
T. Kainz,25,Austria,TSV Hartberg,Right,55,54,58,60
D. Barnes,22,England,Colchester United,Left,15,22,38,32
T. Buitink,18,Netherlands,Vitesse,Right,44,60,36,54
H. Eisa,25,Burkina Faso,Ohod Club,Right,49,56,50,60
D. Hyam,22,Scotland,Coventry City,Right,28,27,44,43
T. Denton,22,England,Peterborough United,Left,61,59,55,58
B. Ziegenbein,32,Germany,FC Energie Cottbus,Right,61,64,54,71
Adrià Pedrosa,20,Spain,RCD Espanyol,Left,62,60,55,50
A. Stadler,30,United States,Dalkurd FF,Right,52,61,47,57
Li Xiaoming,22,China PR,Shanghai Greenland Shenhua FC,Right,42,53,56,41
R. Muhammed,24,France,Sarpsborg 08 FF,Right,53,63,41,58
M. Al Mania,22,Saudi Arabia,Al Hazem,Right,50,63,31,60
A. López,21,Mexico,Club América,Left,60,67,57,63
L. Ralte,25,India,,Left,60,60,48,66
M. Payares,23,Colombia,Deportivo Pasto,Right,29,30,31,40
F. Sucsuz,22,Turkey,FC Carl Zeiss Jena,Left,63,61,59,41
C. Cásseres Jr,18,Venezuela,New York Red Bulls,Right,45,66,62,49
K. Etuhu,30,Nigeria,Carlisle United,Right,62,58,62,60
A. Al Saleh,28,Saudi Arabia,Ettifaq FC,Right,16,15,25,20
Zheng Dalun,24,China PR,Tianjin Quanjian FC,Right,44,67,55,56
H. Charsley,21,Republic of Ireland,Everton,Right,54,63,68,53
Giovanni,19,Spain,CD Tenerife,Right,54,66,51,60
M. Barnofsky,23,Germany,Carpi,Right,28,30,35,58
H. Dunk,27,England,Cambridge United,Left,56,61,51,50
T. Galdames,19,Chile,Unión Española,Left,49,38,58,61
S. Ando,27,Japan,Kawasaki Frontale,Right,20,9,12,24
A. Dabasse,24,France,Chamois Niortais Football Club,Left,29,58,44,71
S. Mladenovic,24,Norway,Odds BK,Right,54,59,46,55
J. Hessenthaler,24,England,Grimsby Town,Right,57,57,59,66
Fran Sánchez,28,Spain,SV Mattersburg,Left,62,63,54,56
M. Funk,22,Germany,SpVgg Greuther Fürth,Right,9,12,17,14
S. Amuzie,22,Nigeria,FC Lugano,Left,58,55,44,47
C. Villanueva,19,Chile,Colo-Colo,Right,53,66,60,51
Wang Fan,31,China PR,Guizhou Hengfeng FC,Left,58,66,44,43
A. Egholm,35,Denmark,SønderjyskE,Right,23,19,40,41
B. Koglin,21,Germany,FC St. Pauli,Left,49,36,45,30
D. Tuma,22,Germany,Hallescher FC,Left,59,66,49,58
J. Thorsen,28,Denmark,Eintracht Braunschweig,Right,60,59,60,48
Álex Dos Santos,19,Brazil,Atlético Madrid,Right,13,11,18,13
M. Awoudja,20,Germany,FC Bayern München,Right,29,34,53,46
S. Brodersen,21,Germany,FC St. Pauli,Right,15,14,24,18
Ryu Jae Moon,24,Korea Republic,Daegu FC,Right,40,53,65,52
L. Alzugaray,28,Argentina,Newell's Old Boys,Left,62,65,60,55
I. Franjic,20,Croatia,Eintracht Braunschweig,Right,52,63,53,68
M. Mara,21,Guinea,FC Lorient,Right,49,61,55,62
A. Brorsson,19,Sweden,Örebro SK,Right,34,36,48,28
O. Petrak,27,Croatia,Korona Kielce,Right,57,58,63,50
Rafael Camacho,18,Portugal,Liverpool,Right,58,63,55,57
P. Will,19,Germany,FC Bayern München,Left,51,60,65,60
A. Dønnum,20,Norway,Vålerenga Fotball,Left,52,63,54,60
S. Tanser,23,England,St. Johnstone FC,Left,60,51,53,47
K. Danielak,26,Poland,Arka Gdynia,Right,59,56,58,51
Y. Diouf,18,France,ESTAC Troyes,Right,13,12,38,25
Brian Torres,21,Spain,CD Tenerife,Right,47,55,56,59
L. Jackson,23,Australia,Newcastle Jets,Left,22,35,33,35
Aitor Lorea,20,Spain,CA Osasuna,Right,61,61,42,54
A. Pinga,20,Switzerland,Grasshopper Club Zürich,Right,28,56,34,60
N. Andereggen,18,Argentina,Unión de Santa Fe,Left,35,67,49,62
M. Ambrosiewicz,20,Poland,Górnik Zabrze,Right,51,57,62,60
M. Forss,19,Finland,Brentford,Right,32,41,32,71
B. Álvarez,22,Mexico,Monarcas Morelia,Left,59,65,26,29
P. Michael,20,Nigeria,Vålerenga Fotball,Right,46,59,47,60
J. Wallace,26,England,Fleetwood Town,Right,66,50,62,64
A. Helmersen,20,Norway,Ranheim Fotball,Left,39,56,37,66
A. Yildirim,23,Germany,VfL Sportfreunde Lotte,Right,31,58,34,71
Ángel López,21,Spain,SD Eibar,Left,63,65,56,53
D. Byrtek,27,Poland,Piast Gliwice,Right,34,25,39,23
D. Telford,21,England,Bury,Left,33,56,31,64
S. Old,32,New Zealand,Morecambe,Right,32,46,39,32
H. Tifner,21,Argentina,Gimnasia y Esgrima La Plata,Right,58,53,74,53
Jiang Jiajun,28,China PR,Chongqing Dangdai Lifan FC SWM Team,Right,54,53,51,23
S. Erimuya,20,Nigeria,Cádiz CF,Right,31,35,34,42
F. Obilor,27,Nigeria,HJK Helsinki,Right,27,39,49,32
K. Partida,23,United States,San Jose Earthquakes,Left,56,54,55,46
R. Laidlaw,25,Scotland,Hibernian,Right,11,14,23,20
S. van Hooijdonk,18,Netherlands,NAC Breda,Right,55,59,43,73
F. Mac Allister,22,Argentina,Argentinos Juniors,Right,44,63,65,62
A. Fontana,22,Argentina,Club Atlético Banfield,Right,38,56,37,57
E. Ojeda,20,Argentina,Rosario Central,Right,50,58,63,62
Y. Mamilonne,26,France,Paris FC,Right,30,52,47,54
B. Gaye,20,Gambia,DSC Arminia Bielefeld,Right,11,8,29,18
Iñaki Peña,19,Spain,FC Barcelona,Right,10,12,24,24
F. Dornebusch,23,Germany,VfL Bochum 1848,Right,13,17,20,20
F. Arbeláez,21,Colombia,Patriotas Boyacá FC,Left,58,59,47,33
E. Gutiérrez,22,Mexico,Monterrey,Right,44,50,61,29
J. Vásquez,19,Mexico,Monterrey,Left,55,34,58,38
T. Björkström,27,Sweden,IK Sirius,Right,57,49,52,42
J. McCourt,22,England,Swindon Town,Right,50,50,61,72
Álex Mozo,23,Spain,CD Leganés,Right,52,65,61,50
J. Klinsmann,21,United States,Hertha BSC,Right,14,19,19,39
Y. Fofana,19,France,RC Strasbourg Alsace,Right,41,65,54,56
K. Koussou,26,Germany,TSV 1860 München,Right,54,64,50,48
M. Ortega,23,Mexico,Tigres U.A.N.L.,Left,12,9,29,21
J. Mäder,21,Germany,FSV Zwickau,Right,58,61,41,62
O. Leguizamón,24,Paraguay,Godoy Cruz,Right,59,62,52,52
M. Pawelec,32,Poland,Śląsk Wrocław,Right,50,51,55,44
T. Bonga,21,Germany,FSV Zwickau,Right,37,67,27,60
Kiki,21,Spain,Extremadura UD,Left,60,61,33,37
M. Warcholak,28,Poland,Wisła Płock,Left,50,51,56,43
Romero,22,Spain,Extremadura UD,Right,60,64,55,58
S. Puri,30,Estonia,Waterford FC,Right,57,56,53,56
Kim Yong Jin,25,Korea Republic,Ulsan Hyundai FC,Right,21,56,33,45
S. Moussa,30,Tunisia,Dundee FC,Right,32,55,28,64
Luis Díaz,23,Spain,CD Lugo,Right,47,61,71,58
L. Ameka Autchanga,21,Gabon,Chamois Niortais Football Club,Right,54,68,35,44
J. Vega,20,Mexico,Tigres U.A.N.L.,Right,35,61,50,65
Y. Gutiérrez,37,Mexico,Club Necaxa,Right,12,14,28,23
L. Daschner,19,Germany,MSV Duisburg,Right,51,59,53,51
T. Goppel,21,Netherlands,ADO Den Haag,Right,58,64,55,58
M. Rodas,21,Germany,FSV Zwickau,Left,58,67,45,46
F. Quiroz,20,Argentina,Club Atlético Colón,Left,55,60,56,63
R. Idda,29,Italy,Cosenza,Right,27,30,35,45
M. Petrasso,22,Canada,Montreal Impact,Right,60,64,55,45
J. Angulo,21,Mexico,Club Tijuana,Left,56,60,62,64
M. Thalhammer,20,Germany, SSV Jahn Regensburg,Right,53,57,66,57
J. Hildebrandt,21,Germany,FC Hansa Rostock,Right,34,59,56,58
Robert,17,Spain,Real Betis,Left,68,70,59,58
M. O'Leary,21,England,Bristol City,Right,16,13,17,25
A. Ståhl,23,Sweden,Dalkurd FF,Right,58,66,51,66
R. Griffiths,18,England,Olympique Lyonnais,Right,37,51,37,58
Iván,21,Spain,Real Betis,Left,71,62,60,55
G. Taft,24,England,Cambridge United,Left,45,42,57,46
H. Johansen,25,Norway,SK Brann,Right,27,47,31,63
